id_kit,timestamp,VWC_20cm_%,VWC_40cm_%,T_soil_C,SWT_20cm_cBar,SWT_40cm_cBar,temperatura_ambiente
KIT_001,2026-06-17 22:48:00,34.71,39.92,22.35,5.25,3.34,22.24
KIT_001,2026-06-17 22:49:00,34.74,40.65,22.4,4.59,4.22,22.66
KIT_001,2026-06-17 22:50:00,34.58,40.7,22.35,5.02,3.94,21.95
KIT_001,2026-06-17 22:51:00,34.8,39.78,22.52,4.54,3.91,21.98
KIT_001,2026-06-17 22:52:00,35.01,40.65,22.8,5.1,3.43,22.62
KIT_001,2026-06-17 22:53:00,35.53,40.11,22.57,5.3,3.48,22.37
KIT_001,2026-06-17 22:54:00,34.94,40.6,22.5,4.31,3.67,22.02
KIT_001,2026-06-17 22:55:00,34.98,40.32,22.29,4.43,3.94,22.54
KIT_001,2026-06-17 22:56:00,34.87,40.34,22.72,4.88,3.19,22.55
KIT_001,2026-06-17 22:57:00,34.23,40.27,22.47,4.79,3.87,22.54
KIT_001,2026-06-17 22:58:00,34.9,40.69,22.66,4.84,3.55,22.86
KIT_001,2026-06-17 22:59:00,34.94,39.95,22.58,4.48,3.55,22.4
KIT_001,2026-06-17 23:00:00,35.79,40.5,22.83,5.1,3.64,22.78
KIT_001,2026-06-17 23:01:00,34.86,40.64,22.64,4.61,3.61,22.77
KIT_001,2026-06-17 23:02:00,35.03,40.52,22.59,4.32,3.41,22.68
KIT_001,2026-06-17 23:03:00,34.91,40.99,22.64,4.61,3.8,22.08
KIT_001,2026-06-17 23:04:00,34.51,40.13,22.9,4.43,3.12,22.23
KIT_001,2026-06-17 23:05:00,35.31,40.57,22.59,5.17,3.64,22.21
KIT_001,2026-06-17 23:06:00,35.17,40.24,22.33,4.66,3.84,22.18
KIT_001,2026-06-17 23:07:00,35.18,40.63,22.28,5.0,3.77,22.36
KIT_001,2026-06-17 23:08:00,34.58,40.25,22.11,4.81,3.45,21.94
KIT_001,2026-06-17 23:09:00,35.38,40.13,21.96,4.82,4.15,21.7
KIT_001,2026-06-17 23:10:00,34.39,40.63,21.97,4.54,3.7,21.75
KIT_001,2026-06-17 23:11:00,35.09,40.08,21.87,5.22,4.04,21.2
KIT_001,2026-06-17 23:12:00,35.64,39.81,22.13,5.36,4.07,21.62
KIT_001,2026-06-17 23:13:00,34.52,40.08,21.76,4.78,4.01,21.46
KIT_001,2026-06-17 23:14:00,34.66,40.42,22.22,4.59,4.27,21.03
KIT_001,2026-06-17 23:15:00,34.89,40.65,22.08,5.15,3.94,21.58
KIT_001,2026-06-17 23:16:00,34.67,40.27,21.91,4.5,4.04,21.16
KIT_001,2026-06-17 23:17:00,34.3,40.63,21.89,5.19,3.89,21.55
KIT_001,2026-06-17 23:18:00,34.85,39.83,21.75,4.63,4.03,21.04
KIT_001,2026-06-17 23:19:00,34.45,40.11,21.9,4.55,4.2,20.78
KIT_001,2026-06-17 23:20:00,34.98,40.15,22.04,4.85,3.86,20.68
KIT_001,2026-06-17 23:21:00,34.49,40.21,21.66,4.5,4.0,20.74
KIT_001,2026-06-17 23:22:00,35.36,40.26,21.49,4.64,4.18,20.68
KIT_001,2026-06-17 23:23:00,34.55,40.43,21.92,4.95,4.18,21.13
KIT_001,2026-06-17 23:24:00,34.71,40.08,21.84,4.31,3.76,20.8
KIT_001,2026-06-17 23:25:00,35.11,40.25,21.54,5.38,4.13,20.4
KIT_001,2026-06-17 23:26:00,34.4,40.19,21.61,5.04,3.95,20.85
KIT_001,2026-06-17 23:27:00,34.92,39.91,21.58,4.75,4.19,20.82
KIT_001,2026-06-17 23:28:00,35.3,40.15,21.6,4.88,4.07,20.67
KIT_001,2026-06-17 23:29:00,34.29,40.13,21.67,5.43,4.01,20.85
KIT_001,2026-06-17 23:30:00,34.92,40.12,21.67,5.39,4.07,20.76
KIT_001,2026-06-17 23:31:00,34.95,40.17,21.59,5.64,4.04,20.93
KIT_001,2026-06-17 23:32:00,35.14,40.19,21.59,5.08,4.07,20.98
KIT_001,2026-06-17 23:33:00,34.44,40.05,21.71,5.29,3.98,20.99
